name,date,passenger
1호선,201711,8633618
1호선,201712,8737235
1호선,201801,8145989
1호선,201802,7273309
1호선,201803,8692551
1호선,201804,8275767
1호선,201805,8543247
1호선,201806,7972991
1호선,201807,8150061
1호선,201808,7930624
1호선,201809,7876712
1호선,201810,8783242
1호선,201811,8692924
1호선,201812,8686311
1호선,201901,8591419
1호선,201902,7356277
1호선,201903,8684841
1호선,201904,8594542
1호선,201905,8848275
2호선,201711,47310952
2호선,201712,48288516
2호선,201801,45887302
2호선,201802,40241730
2호선,201803,49033111
2호선,201804,47273448
2호선,201805,48249398
2호선,201806,45485568
2호선,201807,47356791
2호선,201808,45610483
2호선,201809,42607084
2호선,201810,48343358
2호선,201811,48332253
2호선,201812,47703690
2호선,201901,46899828
2호선,201902,39681521
2호선,201903,48049524
2호선,201904,48093446
2호선,201905,49356486
3호선,201711,17545987
3호선,201712,17673756
3호선,201801,16533633
3호선,201802,14667088
3호선,201803,17964288
3호선,201804,17428342
3호선,201805,17910425
3호선,201806,16764209
3호선,201807,17146429
3호선,201808,16562841
3호선,201809,16029202
3호선,201810,18028183
3호선,201811,17956555
3호선,201812,17504336
3호선,201901,17105248
3호선,201902,14669107
3호선,201903,17768056
3호선,201904,17839508
3호선,201905,18368138
4호선,201711,18419611
4호선,201712,18566142
4호선,201801,16804039
4호선,201802,14866104
4호선,201803,18869501
4호선,201804,18168382
4호선,201805,18737401
4호선,201806,17398734
4호선,201807,17132221
4호선,201808,16336896
4호선,201809,16178231
4호선,201810,18515346
4호선,201811,18296441
4호선,201812,18073002
4호선,201901,17024286
4호선,201902,14674440
4호선,201903,18307557
4호선,201904,18261165
4호선,201905,18892269
경부선,201711,15366929
경부선,201712,15201612
경부선,201801,13724472
경부선,201802,12462580
경부선,201803,15880624
경부선,201804,15481019
경부선,201805,15962817
경부선,201806,14714309
경부선,201807,14142287
경부선,201808,13768724
경부선,201809,14215314
경부선,201810,15735985
경부선,201811,15484528
경부선,201812,14936623
경부선,201901,14078749
경부선,201902,12528577
경부선,201903,15687672
경부선,201904,15642923
경부선,201905,16290430
경인선,201711,10346038
경인선,201712,10304679
경인선,201801,9384404
경인선,201802,8399524
경인선,201803,10653265
경인선,201804,10356250
경인선,201805,10711266
경인선,201806,9988701
경인선,201807,9754883
경인선,201808,9373962
경인선,201809,9507123
경인선,201810,10573546
경인선,201811,10228414
경인선,201812,9978174
경인선,201901,9604994
경인선,201902,8343468
경인선,201903,10313428
경인선,201904,10353406
경인선,201905,10752089
경원선,201711,6895530
경원선,201712,6731033
경원선,201801,6066389
경원선,201802,5500571
경원선,201803,7142517
경원선,201804,6938513
경원선,201805,7256824
경원선,201806,6696266
경원선,201807,6503802
경원선,201808,6291897
경원선,201809,6535530
경원선,201810,7239319
경원선,201811,6981802
경원선,201812,6613470
경원선,201901,6283101
경원선,201902,5554914
경원선,201903,7042891
경원선,201904,7007886
경원선,201905,7361699
안산선,201711,4129259
안산선,201712,4024103
안산선,201801,3679368
안산선,201802,3291394
안산선,201803,4246190
안산선,201804,4235529
안산선,201805,4321482
안산선,201806,3990860
안산선,201807,3845355
안산선,201808,3725432
안산선,201809,3853442
안산선,201810,4244828
안산선,201811,4127975
안산선,201812,3930263
안산선,201901,3738805
안산선,201902,3286427
안산선,201903,4148330
안산선,201904,4230809
안산선,201905,4394656
과천선,201711,3456678
과천선,201712,3449495
과천선,201801,3205349
과천선,201802,2783135
과천선,201803,3511166
과천선,201804,3559087
과천선,201805,3689349
과천선,201806,3377806
과천선,201807,3355494
과천선,201808,3287674
과천선,201809,3220052
과천선,201810,3649519
과천선,201811,3519249
과천선,201812,3386515
과천선,201901,3314730
과천선,201902,2803857
과천선,201903,3482581
과천선,201904,3653831
과천선,201905,3759399
분당선,201711,11324724
분당선,201712,11388696
분당선,201801,10778907
분당선,201802,9500836
분당선,201803,11838459
분당선,201804,11390496
분당선,201805,11574157
분당선,201806,10841061
분당선,201807,11053241
분당선,201808,10664191
분당선,201809,10294500
분당선,201810,11609486
분당선,201811,11674103
분당선,201812,11372596
분당선,201901,11199314
분당선,201902,9496689
분당선,201903,11677296
분당선,201904,11738143
분당선,201905,12178257
일산선,201711,3477869
일산선,201712,3520376
일산선,201801,3227773
일산선,201802,2875458
일산선,201803,3561712
일산선,201804,3471650
일산선,201805,3694115
일산선,201806,3367520
일산선,201807,3424759
일산선,201808,3346516
일산선,201809,3258215
일산선,201810,3628839
일산선,201811,3568468
일산선,201812,3460292
일산선,201901,3384893
일산선,201902,2935191
일산선,201903,3537142
일산선,201904,3608124
일산선,201905,3824620
중앙선,201711,3089935
중앙선,201712,2970607
중앙선,201801,2689740
중앙선,201802,2428190
중앙선,201803,3138558
중앙선,201804,3110133
중앙선,201805,3259622
중앙선,201806,3005241
중앙선,201807,2965603
중앙선,201808,2869230
중앙선,201809,2940081
중앙선,201810,3250757
중앙선,201811,3141015
중앙선,201812,2921988
중앙선,201901,2799510
중앙선,201902,2452381
중앙선,201903,3127966
중앙선,201904,3198267
중앙선,201905,3363372
장항선,201711,515450
장항선,201712,472877
장항선,201801,397622
장항선,201802,364510
장항선,201803,542284
장항선,201804,516285
장항선,201805,546938
장항선,201806,465508
장항선,201807,396597
장항선,201808,399577
장항선,201809,480939
장항선,201810,523180
장항선,201811,525677
장항선,201812,470318
장항선,201901,409923
장항선,201902,374659
장항선,201903,543853
장항선,201904,535901
장항선,201905,561886
경의선,201711,3223203
경의선,201712,3124235
경의선,201801,2824435
경의선,201802,2520224
경의선,201803,3288098
경의선,201804,3227649
경의선,201805,3365822
경의선,201806,3128581
경의선,201807,3070580
경의선,201808,2971863
경의선,201809,3059902
경의선,201810,3464997
경의선,201811,3403107
경의선,201812,3184427
경의선,201901,3057472
경의선,201902,2665291
경의선,201903,3384362
경의선,201904,3446722
경의선,201905,3592249
경춘선,201711,1195031
경춘선,201712,1122581
경춘선,201801,1006924
경춘선,201802,903428
경춘선,201803,1211193
경춘선,201804,1242069
경춘선,201805,1344898
경춘선,201806,1221249
경춘선,201807,1198190
경춘선,201808,1193830
경춘선,201809,1200294
경춘선,201810,1322133
경춘선,201811,1229830
경춘선,201812,1123454
경춘선,201901,1070090
경춘선,201902,964241
경춘선,201903,1236373
경춘선,201904,1272844
경춘선,201905,1375588
수인선,201711,1412448
수인선,201712,1381647
수인선,201801,1244831
수인선,201802,1087068
수인선,201803,1449575
수인선,201804,1436948
수인선,201805,1517422
수인선,201806,1408896
수인선,201807,1338287
수인선,201808,1273345
수인선,201809,1345510
수인선,201810,1532475
수인선,201811,1444369
수인선,201812,1382138
수인선,201901,1303254
수인선,201902,1124736
수인선,201903,1458430
수인선,201904,1489426
수인선,201905,1576583
경강선,201711,778390
경강선,201712,772841
경강선,201801,699511
경강선,201802,640096
경강선,201803,812367
경강선,201804,801580
경강선,201805,853184
경강선,201806,789124
경강선,201807,777704
경강선,201808,775414
경강선,201809,797384
경강선,201810,901419
경강선,201811,886852
경강선,201812,825054
경강선,201901,785050
경강선,201902,698936
경강선,201903,859295
경강선,201904,878213
경강선,201905,933785
서해선,201806,343785
서해선,201807,633724
서해선,201808,621605
서해선,201809,635508
서해선,201810,751325
서해선,201811,758917
서해선,201812,747321
서해선,201901,743368
서해선,201902,657067
서해선,201903,838927
서해선,201904,862434
서해선,201905,897774
5호선,201711,18656464
5호선,201712,18782771
5호선,201801,17821984
5호선,201802,15512971
5호선,201803,19241969
5호선,201804,18973480
5호선,201805,19264990
5호선,201806,18014833
5호선,201807,18276689
5호선,201808,17600571
5호선,201809,16833876
5호선,201810,19277024
5호선,201811,19113549
5호선,201812,18484816
5호선,201901,18286102
5호선,201902,15446522
5호선,201903,18834177
5호선,201904,19439028
5호선,201905,19767410
6호선,201711,11132866
6호선,201712,11027361
6호선,201801,10132175
6호선,201802,9006419
6호선,201803,11496844
6호선,201804,11108151
6호선,201805,11567943
6호선,201806,10602634
6호선,201807,10632495
6호선,201808,10229063
6호선,201809,10185000
6호선,201810,11811629
6호선,201811,11286820
6호선,201812,10938420
6호선,201901,10439337
6호선,201902,8930481
6호선,201903,11313594
6호선,201904,11276357
6호선,201905,11707933
7호선,201711,22072213
7호선,201712,21821835
7호선,201801,20808681
7호선,201802,18321937
7호선,201803,22747349
7호선,201804,22251248
7호선,201805,22847200
7호선,201806,21242129
7호선,201807,21467155
7호선,201808,20765978
7호선,201809,20102943
7호선,201810,22709438
7호선,201811,22594694
7호선,201812,21729775
7호선,201901,21451866
7호선,201902,18303459
7호선,201903,22454521
7호선,201904,22872658
7호선,201905,23561337
8호선,201711,5653701
8호선,201712,5723547
8호선,201801,5451091
8호선,201802,4772563
8호선,201803,5905182
8호선,201804,5793719
8호선,201805,5916680
8호선,201806,5523152
8호선,201807,5630084
8호선,201808,5445725
8호선,201809,5176534
8호선,201810,5973011
8호선,201811,5944278
8호선,201812,5786610
8호선,201901,5738366
8호선,201902,4882939
8호선,201903,5999692
8호선,201904,6132746
8호선,201905,6255062
인천1호선,201711,6197885
인천1호선,201712,6206436
인천1호선,201801,5707794
인천1호선,201802,5127939
인천1호선,201803,6461234
인천1호선,201804,6254065
인천1호선,201805,6533132
인천1호선,201806,6055539
인천1호선,201807,5985743
인천1호선,201808,5729269
인천1호선,201809,5815947
인천1호선,201810,6451713
인천1호선,201811,6372583
인천1호선,201812,6182630
